"filename", "language", "YAML", "Dart", "JSON", "Groovy", "Java Properties", "C++", "Markdown", "XML", "Swift", "comment", "blank", "total"
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\barberPages\profileSettings.dart", "Dart", 0, 463, 0, 0, 0, 0, 0, 0, 0, 1, 5, 469
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\booking\TimeSlotsPage.dart", "Dart", 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 5, 307
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\Appointments.dart", "Dart", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 3, 125
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\barberProfile.dart", "Dart", 0, 435, 0, 0, 0, 0, 0, 0, 0, 1, 5, 441
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\barbersCard.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\barbersPage.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\drawer.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 1, 8, 91
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\homePage.dart", "Dart", 0, 229, 0, 0, 0, 0, 0, 0, 0, 2, 6, 237
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\topBarberCard.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\Views\userPages\userProfilPage.dart", "Dart", 0, 158, 0, 0, 0, 0, 0, 0, 0, 7, 4, 169
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\appointmentProv.dart", "Dart", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 20, 206
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\authProv.dart", "Dart", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 14, 203
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\barberProfileDataProv.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 11, 103
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\barberProfileProv.dart", "Dart", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 12, 226
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\bookingProv.dart", "Dart", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 19, 179
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\homePageProv.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\profileSettingsProv.dart", "Dart", 0, 522, 0, 0, 0, 0, 0, 0, 0, 2, 30, 554
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\controllers\userProfileProv.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 13, 180
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\firebase_options.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 12, 4, 71
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\main.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\appointment.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\barber.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\offer.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\product.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\service.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\slot.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 1, 10, 136
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\user.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\models\userAppointment.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\splash_screen.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 6, 70
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\DateTimeTools.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\apiPaths.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 20, 6, 73
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\auth.dart", "Dart", 0, 227, 0, 0, 0, 0, 0, 0, 0, 51, 25, 303
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\colorsApp.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\extention.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 3, 10, 98
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\pushNotification.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\restService.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 9, 85
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\textStyle.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\timeSlots.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 7, 88
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\utils\user_preferences.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\widgets\appButton.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\widgets\appText.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\widgets\formTextField.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 3, 7, 116
"c:\Users\Darwi\Documents\GitHub\HairAndMore\lib\widgets\submitDialog.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\Darwi\Documents\GitHub\HairAndMore\pubspec.yaml", "YAML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 55, 16, 120
"Total", "-", 52, 6722, 227, 97, 8, 1, 13, 124, 12, 261, 489, 8006
